310.358 -1.39297e-06 -0.00322142  3.63422 -0.0449232  1.48316e-06 -0.00322149  3.35709 -0.0376797  
312.683 -1.37359e-06 -0.00319748  3.63434 -0.0445428  1.46114e-06 -0.00319755  3.3571 -0.0374118  
315.007 -1.3546e-06 -0.00317389  3.63446 -0.0441688  1.43961e-06 -0.00317396  3.3571 -0.0371476  
317.332 -1.33599e-06 -0.00315065  3.63458 -0.0438011  1.41855e-06 -0.00315072  3.35711 -0.0368871  
319.657 -1.31775e-06 -0.00312774  3.63469 -0.0434394  1.39795e-06 -0.00312781  3.35711 -0.0366303  
321.982 -1.29987e-06 -0.00310517  3.6348 -0.0430836  1.3778e-06 -0.00310523  3.35712 -0.036377  
324.307 -1.28235e-06 -0.00308292  3.63491 -0.0427336  1.35808e-06 -0.00308298  3.35712 -0.0361271  
326.631 -1.26517e-06 -0.00306098  3.63502 -0.0423893  1.33878e-06 -0.00306105  3.35713 -0.0358807  
328.956 -1.24833e-06 -0.00303936  3.63513 -0.0420504  1.31989e-06 -0.00303942  3.35713 -0.0356376  
331.281 -1.23181e-06 -0.00301804  3.63523 -0.041717  1.3014e-06 -0.0030181  3.35714 -0.0353978  
333.606 -1.21561e-06 -0.00299702  3.63533 -0.0413888  1.28329e-06 -0.00299707  3.35714 -0.0351613  
335.931 -1.19972e-06 -0.00297628  3.63543 -0.0410657  1.26556e-06 -0.00297634  3.35714 -0.0349278  
338.255 -1.18413e-06 -0.00295584  3.63552 -0.0407476  1.24819e-06 -0.00295589  3.35715 -0.0346974  
340.58 -1.16884e-06 -0.00293567  3.63562 -0.0404344  1.23118e-06 -0.00293572  3.35715 -0.0344701  
342.905 -1.15383e-06 -0.00291577  3.63571 -0.040126  1.21451e-06 -0.00291582  3.35716 -0.0342457  
345.23 -1.13911e-06 -0.00289614  3.6358 -0.0398222  1.19818e-06 -0.00289619  3.35716 -0.0340242  
347.554 -1.12466e-06 -0.00287678  3.63589 -0.039523  1.18218e-06 -0.00287682  3.35716 -0.0338055  
349.879 -1.11048e-06 -0.00285767  3.63598 -0.0392283  1.1665e-06 -0.00285771  3.35717 -0.0335897  
352.204 -1.09656e-06 -0.00283881  3.63606 -0.0389379  1.15112e-06 -0.00283886  3.35717 -0.0333766  
354.529 -1.0829e-06 -0.0028202  3.63615 -0.0386518  1.13605e-06 -0.00282025  3.35717 -0.0331661  
356.854 -1.06948e-06 -0.00280184  3.63623 -0.0383699  1.12128e-06 -0.00280188  3.35718 -0.0329583  
359.178 -1.05631e-06 -0.00278371  3.63631 -0.0380921  1.10679e-06 -0.00278375  3.35718 -0.0327531  
361.503 -1.04337e-06 -0.00276581  3.63639 -0.0378182  1.09257e-06 -0.00276585  3.35718 -0.0325505  
363.828 -1.03067e-06 -0.00274814  3.63647 -0.0375483  1.07864e-06 -0.00274818  3.35719 -0.0323503  
366.153 -1.01819e-06 -0.0027307  3.63654 -0.0372822  1.06496e-06 -0.00273074  3.35719 -0.0321526  
368.477 -1.00594e-06 -0.00271348  3.63662 -0.0370198  1.05155e-06 -0.00271351  3.35719 -0.0319573  
370.802 -9.93899e-07 -0.00269647  3.63669 -0.0367611  1.03838e-06 -0.00269651  3.3572 -0.0317643  
373.127 -9.8207e-07 -0.00267967  3.63676 -0.036506  1.02547e-06 -0.00267971  3.3572 -0.0315736  
375.452 -9.70449e-07 -0.00266309  3.63683 -0.0362545  1.01279e-06 -0.00266312  3.3572 -0.0313853  
377.777 -9.59028e-07 -0.0026467  3.6369 -0.0360063  1.00034e-06 -0.00264674  3.35721 -0.0311991  
380.101 -9.47805e-07 -0.00263052  3.63697 -0.0357615  9.88127e-07 -0.00263055  3.35721 -0.0310152  
382.426 -9.36775e-07 -0.00261453  3.63703 -0.0355201  9.76133e-07 -0.00261457  3.35721 -0.0308334  
384.751 -9.25933e-07 -0.00259874  3.6371 -0.0352818  9.64357e-07 -0.00259877  3.35721 -0.0306537  
387.076 -9.15275e-07 -0.00258314  3.63716 -0.0350468  9.52792e-07 -0.00258317  3.35722 -0.0304762  
389.4 -9.04797e-07 -0.00256772  3.63723 -0.0348148  9.41435e-07 -0.00256775  3.35722 -0.0303006  
391.725 -8.94496e-07 -0.00255248  3.63729 -0.034586  9.30279e-07 -0.00255251  3.35722 -0.0301271  
394.05 -8.84367e-07 -0.00253743  3.63735 -0.0343601  9.1932e-07 -0.00253746  3.35722 -0.0299555  
396.375 -8.74406e-07 -0.00252255  3.63741 -0.0341371  9.08554e-07 -0.00252258  3.35723 -0.0297859  
398.7 -8.6461e-07 -0.00250785  3.63747 -0.033917  8.97976e-07 -0.00250787  3.35723 -0.0296182  
401.024 -8.54976e-07 -0.00249331  3.63753 -0.0336997  8.87582e-07 -0.00249334  3.35723 -0.0294524  
403.349 -8.455e-07 -0.00247894  3.63758 -0.0334852  8.77368e-07 -0.00247897  3.35723 -0.0292884  
405.674 -8.36178e-07 -0.00246474  3.63764 -0.0332734  8.67329e-07 -0.00246477  3.35724 -0.0291263  
407.999 -8.27007e-07 -0.0024507  3.63769 -0.0330643  8.57461e-07 -0.00245073  3.35724 -0.0289659  
410.323 -8.17984e-07 -0.00243682  3.63775 -0.0328578  8.4776e-07 -0.00243684  3.35724 -0.0288073  
412.648 -8.09106e-07 -0.00242309  3.6378 -0.0326538  8.38224e-07 -0.00242312  3.35724 -0.0286504  
414.973 -8.0037e-07 -0.00240952  3.63785 -0.0324524  8.28847e-07 -0.00240955  3.35725 -0.0284952  
417.298 -7.91773e-07 -0.0023961  3.6379 -0.0322534  8.19627e-07 -0.00239612  3.35725 -0.0283417  
419.623 -7.83312e-07 -0.00238283  3.63795 -0.0320568  8.1056e-07 -0.00238285  3.35725 -0.0281898  
421.947 -7.74984e-07 -0.0023697  3.638 -0.0318627  8.01643e-07 -0.00236973  3.35725 -0.0280395  
424.272 -7.66787e-07 -0.00235672  3.63805 -0.0316709  7.92872e-07 -0.00235674  3.35725 -0.0278909  
426.597 -7.58717e-07 -0.00234388  3.6381 -0.0314813  7.84245e-07 -0.0023439  3.35726 -0.0277438  
428.922 -7.50773e-07 -0.00233118  3.63815 -0.0312941  7.75757e-07 -0.0023312  3.35726 -0.0275982  
431.246 -7.42951e-07 -0.00231862  3.63819 -0.031109  7.67407e-07 -0.00231864  3.35726 -0.0274542  
433.571 -7.35249e-07 -0.00230619  3.63824 -0.0309261  7.59191e-07 -0.00230621  3.35726 -0.0273117  
435.896 -7.27666e-07 -0.00229389  3.63828 -0.0307454  7.51106e-07 -0.00229391  3.35726 -0.0271706  
438.221 -7.20197e-07 -0.00228172  3.63833 -0.0305667  7.43149e-07 -0.00228174  3.35726 -0.027031  
440.546 -7.12842e-07 -0.00226969  3.63837 -0.0303901  7.35318e-07 -0.0022697  3.35727 -0.0268928  
442.87 -7.05597e-07 -0.00225777  3.63841 -0.0302156  7.27611e-07 -0.00225779  3.35727 -0.026756  
445.195 -6.98461e-07 -0.00224599  3.63846 -0.030043  7.20024e-07 -0.002246  3.35727 -0.0266206  
447.52 -6.91432e-07 -0.00223432  3.6385 -0.0298724  7.12555e-07 -0.00223434  3.35727 -0.0264866  
449.845 -6.84507e-07 -0.00222278  3.63854 -0.0297037  7.05202e-07 -0.00222279  3.35727 -0.0263539  
452.169 -6.77684e-07 -0.00221135  3.63858 -0.029537  6.97962e-07 -0.00221137  3.35728 -0.0262225  
454.494 -6.70962e-07 -0.00220004  3.63862 -0.029372  6.90833e-07 -0.00220006  3.35728 -0.0260925  
456.819 -6.64338e-07 -0.00218885  3.63866 -0.029209  6.83813e-07 -0.00218886  3.35728 -0.0259637  
459.144 -6.57811e-07 -0.00217777  3.6387 -0.0290477  6.76899e-07 -0.00217778  3.35728 -0.0258362  
461.469 -6.51379e-07 -0.0021668  3.63873 -0.0288882  6.7009e-07 -0.00216681  3.35728 -0.0257099  
463.793 -6.45039e-07 -0.00215594  3.63877 -0.0287304  6.63383e-07 -0.00215595  3.35728 -0.0255849  
466.118 -6.38791e-07 -0.00214519  3.63881 -0.0285743  6.56776e-07 -0.0021452  3.35728 -0.025461  
468.443 -6.32632e-07 -0.00213454  3.63884 -0.02842  6.50267e-07 -0.00213456  3.35729 -0.0253384  
470.768 -6.26561e-07 -0.002124  3.63888 -0.0282673  6.43855e-07 -0.00212402  3.35729 -0.0252169  
473.092 -6.20576e-07 -0.00211357  3.63892 -0.0281162  6.37537e-07 -0.00211358  3.35729 -0.0250966  
475.417 -6.14676e-07 -0.00210324  3.63895 -0.0279667  6.31312e-07 -0.00210325  3.35729 -0.0249775  
477.742 -6.08858e-07 -0.002093  3.63898 -0.0278188  6.25177e-07 -0.00209302  3.35729 -0.0248594  
480.067 -6.03122e-07 -0.00208287  3.63902 -0.0276725  6.19131e-07 -0.00208288  3.35729 -0.0247425  
482.392 -5.97466e-07 -0.00207283  3.63905 -0.0275277  6.13173e-07 -0.00207285  3.35729 -0.0246267  
484.716 -5.91889e-07 -0.00206289  3.63908 -0.0273844  6.073e-07 -0.00206291  3.3573 -0.0245119  
487.041 -5.86388e-07 -0.00205305  3.63912 -0.0272426  6.01512e-07 -0.00205306  3.3573 -0.0243982  
489.366 -5.80963e-07 -0.0020433  3.63915 -0.0271022  5.95805e-07 -0.00204331  3.3573 -0.0242856  
491.691 -5.75613e-07 -0.00203364  3.63918 -0.0269633  5.9018e-07 -0.00203365  3.3573 -0.024174  
494.015 -5.70335e-07 -0.00202407  3.63921 -0.0268258  5.84634e-07 -0.00202408  3.3573 -0.0240634  
496.34 -5.65129e-07 -0.00201459  3.63924 -0.0266897  5.79166e-07 -0.0020146  3.3573 -0.0239539  
498.665 -5.59993e-07 -0.0020052  3.63927 -0.026555  5.73774e-07 -0.00200521  3.3573 -0.0238453  
500.99 -5.54927e-07 -0.0019959  3.6393 -0.0264216  5.68457e-07 -0.00199591  3.35731 -0.0237377  
503.315 -5.49928e-07 -0.00198668  3.63933 -0.0262896  5.63213e-07 -0.00198669  3.35731 -0.0236311  
505.639 -5.44996e-07 -0.00197755  3.63936 -0.0261588  5.58042e-07 -0.00197756  3.35731 -0.0235254  
507.964 -5.40129e-07 -0.0019685  3.63939 -0.0260294  5.52942e-07 -0.00196851  3.35731 -0.0234206  
510.289 -5.35327e-07 -0.00195953  3.63941 -0.0259012  5.47911e-07 -0.00195954  3.35731 -0.0233168  
512.614 -5.30588e-07 -0.00195064  3.63944 -0.0257743  5.42949e-07 -0.00195065  3.35731 -0.0232139  
514.938 -5.25911e-07 -0.00194184  3.63947 -0.0256487  5.38054e-07 -0.00194185  3.35731 -0.0231119  
517.263 -5.21295e-07 -0.00193311  3.6395 -0.0255242  5.33225e-07 -0.00193312  3.35731 -0.0230108  
519.588 -5.1674e-07 -0.00192446  3.63952 -0.025401  5.2846e-07 -0.00192447  3.35731 -0.0229106  
521.913 -5.12243e-07 -0.00191589  3.63955 -0.0252789  5.2376e-07 -0.0019159  3.35732 -0.0228113  
524.238 -5.07804e-07 -0.0019074  3.63957 -0.025158  5.19121e-07 -0.00190741  3.35732 -0.0227128  
526.562 -5.03423e-07 -0.00189898  3.6396 -0.0250383  5.14544e-07 -0.00189899  3.35732 -0.0226152  
528.887 -4.99097e-07 -0.00189063  3.63962 -0.0249197  5.10027e-07 -0.00189064  3.35732 -0.0225183  
531.212 -4.94826e-07 -0.00188236  3.63965 -0.0248022  5.0557e-07 -0.00188237  3.35732 -0.0224224  
533.537 -4.9061e-07 -0.00187416  3.63967 -0.0246858  5.0117e-07 -0.00187417  3.35732 -0.0223272  
535.861 -4.86447e-07 -0.00186603  3.6397 -0.0245705  4.96828e-07 -0.00186604  3.35732 -0.0222328  
538.186 -4.82336e-07 -0.00185797  3.63972 -0.0244563  4.92542e-07 -0.00185798  3.35732 -0.0221393  
540.511 -4.78277e-07 -0.00184998  3.63975 -0.0243431  4.88312e-07 -0.00184999  3.35732 -0.0220465  
542.836 -4.74269e-07 -0.00184206  3.63977 -0.024231  4.84135e-07 -0.00184207  3.35732 -0.0219545  
545.161 -4.7031e-07 -0.0018342  3.63979 -0.0241199  4.80012e-07 -0.00183421  3.35733 -0.0218632  
547.485 -4.664e-07 -0.00182642  3.63981 -0.0240098  4.75942e-07 -0.00182642  3.35733 -0.0217727  
