561.246 -1.0016e-06 -0.00178158  5.31555 -0.0424005  9.70804e-07 -0.00178156  4.69414 -0.0490324  
564.073 -9.91541e-07 -0.00177265  5.31554 -0.0421973  9.61358e-07 -0.00177263  4.69406 -0.0487609  
566.9 -9.81638e-07 -0.00176381  5.31553 -0.0419961  9.52049e-07 -0.00176379  4.69398 -0.0484925  
569.728 -9.71882e-07 -0.00175506  5.31552 -0.0417968  9.42873e-07 -0.00175504  4.6939 -0.0482269  
572.555 -9.62272e-07 -0.0017464  5.3155 -0.0415994  9.33827e-07 -0.00174638  4.69382 -0.0479643  
575.383 -9.52803e-07 -0.00173782  5.31549 -0.0414038  9.2491e-07 -0.0017378  4.69374 -0.0477045  
578.21 -9.43473e-07 -0.00172932  5.31548 -0.04121  9.16118e-07 -0.0017293  4.69366 -0.0474475  
581.038 -9.3428e-07 -0.00172091  5.31547 -0.0410181  9.0745e-07 -0.00172089  4.69359 -0.0471932  
583.865 -9.25221e-07 -0.00171257  5.31546 -0.040828  8.98904e-07 -0.00171256  4.69351 -0.0469417  
586.692 -9.16294e-07 -0.00170432  5.31545 -0.0406396  8.90476e-07 -0.0017043  4.69344 -0.0466928  
589.52 -9.07495e-07 -0.00169615  5.31543 -0.0404529  8.82166e-07 -0.00169613  4.69336 -0.0464465  
592.347 -8.98822e-07 -0.00168805  5.31542 -0.0402679  8.7397e-07 -0.00168804  4.69329 -0.0462029  
595.175 -8.90273e-07 -0.00168004  5.31541 -0.0400847  8.65887e-07 -0.00168002  4.69322 -0.0459618  
598.002 -8.81845e-07 -0.00167209  5.3154 -0.039903  8.57914e-07 -0.00167208  4.69315 -0.0457231  
600.83 -8.73537e-07 -0.00166423  5.31539 -0.0397231  8.5005e-07 -0.00166421  4.69308 -0.045487  
603.657 -8.65346e-07 -0.00165643  5.31538 -0.0395447  8.42293e-07 -0.00165642  4.69302 -0.0452533  
606.484 -8.5727e-07 -0.00164871  5.31537 -0.0393679  8.3464e-07 -0.0016487  4.69295 -0.0450219  
609.312 -8.49306e-07 -0.00164106  5.31536 -0.0391927  8.2709e-07 -0.00164105  4.69288 -0.0447929  
612.139 -8.41453e-07 -0.00163348  5.31535 -0.0390191  8.19642e-07 -0.00163347  4.69282 -0.0445663  
614.967 -8.33708e-07 -0.00162598  5.31534 -0.038847  8.12293e-07 -0.00162596  4.69275 -0.0443419  
617.794 -8.2607e-07 -0.00161853  5.31533 -0.0386764  8.05041e-07 -0.00161852  4.69269 -0.0441198  
620.622 -8.18537e-07 -0.00161116  5.31532 -0.0385073  7.97885e-07 -0.00161115  4.69263 -0.0438998  
623.449 -8.11106e-07 -0.00160386  5.31531 -0.0383396  7.90824e-07 -0.00160384  4.69257 -0.0436821  
626.276 -8.03776e-07 -0.00159662  5.3153 -0.0381735  7.83855e-07 -0.0015966  4.69251 -0.0434665  
629.104 -7.96545e-07 -0.00158944  5.31529 -0.0380087  7.76977e-07 -0.00158943  4.69245 -0.043253  
631.931 -7.89411e-07 -0.00158233  5.31528 -0.0378454  7.70188e-07 -0.00158232  4.69239 -0.0430416  
